CLASS,COMID
"7",8200535.00000000000
"7",8200545.00000000000
"7",8200931.00000000000
"7",8201087.00000000000
"7",8201891.00000000000
"7",8202565.00000000000
"7",8202567.00000000000
"7",8202989.00000000000
"7",8203029.00000000000
"7",8203051.00000000000
"7",8203065.00000000000
"7",8205223.00000000000
"7",8205531.00000000000
"7",8205535.00000000000
"7",17154226.00000000000
"7",17168920.00000000000
"7",17169240.00000000000
"7",17169678.00000000000
"7",17169682.00000000000
"7",17170524.00000000000
"7",17172564.00000000000
"7",17172622.00000000000
"7",17599211.00000000000
"7",17604083.00000000000
"7",17604093.00000000000
"7",17604099.00000000000
"7",17604109.00000000000
"7",17604117.00000000000
"7",17604127.00000000000
"7",17604153.00000000000
"7",17604157.00000000000
"7",17604237.00000000000
"7",17604249.00000000000
"7",17604257.00000000000
"7",17604265.00000000000
"7",17604283.00000000000
"7",17604285.00000000000
"7",17604311.00000000000
"7",17604317.00000000000
"7",17604323.00000000000
"7",17604335.00000000000
"7",17604339.00000000000
"7",17605395.00000000000
"7",17605415.00000000000
"7",17605421.00000000000
"7",17605431.00000000000
"7",17605435.00000000000
"7",17605503.00000000000
"7",17605515.00000000000
"7",17606199.00000000000
"7",17624361.00000000000
"7",17635878.00000000000
"7",17636180.00000000000
"7",17636200.00000000000
"7",17636250.00000000000
"7",17663125.00000000000
"7",17663287.00000000000
"7",17663341.00000000000
"7",17663479.00000000000
"7",17663483.00000000000
"7",17663497.00000000000
"7",17665741.00000000000
"7",17665751.00000000000
"7",1691210.00000000000
"7",1691216.00000000000
"7",1691380.00000000000
"7",1691384.00000000000
"7",1691390.00000000000
"7",1691398.00000000000
"7",1691400.00000000000
"7",1691414.00000000000
"7",1691426.00000000000
"7",1691428.00000000000
"7",1691436.00000000000
"7",1691448.00000000000
"7",1691456.00000000000
"7",1691468.00000000000
"7",1691482.00000000000
"7",1691486.00000000000
"7",1691496.00000000000
"7",1691498.00000000000
"7",1691500.00000000000
"7",1691502.00000000000
"7",1691504.00000000000
"7",1691512.00000000000
"7",1691514.00000000000
"7",1691526.00000000000
"7",1691530.00000000000
"7",1691532.00000000000
"7",1691534.00000000000
"7",1691544.00000000000
"7",1691554.00000000000
"7",1691558.00000000000
"7",1691566.00000000000
"7",1691568.00000000000
"7",1691572.00000000000
"7",1691574.00000000000
"7",1691576.00000000000
"7",1691582.00000000000
"7",1691584.00000000000
"7",1691586.00000000000
"7",1691588.00000000000
"7",1691600.00000000000
"7",1691604.00000000000
"7",1691606.00000000000
"7",1691610.00000000000
"7",1691612.00000000000
"7",1691618.00000000000
"7",1691622.00000000000
"7",1691624.00000000000
"7",1691644.00000000000
"7",1691648.00000000000
"7",1691652.00000000000
"7",1691654.00000000000
"7",1691658.00000000000
"7",1691668.00000000000
"7",1691670.00000000000
"7",1691684.00000000000
"7",1691688.00000000000
"7",1691692.00000000000
"7",1691696.00000000000
"7",1691700.00000000000
"7",1691708.00000000000
"7",1691722.00000000000
"7",1691726.00000000000
"7",1691730.00000000000
"7",1691736.00000000000
"7",1691750.00000000000
"7",1691752.00000000000
"7",1691754.00000000000
"7",1691768.00000000000
"7",1691782.00000000000
"7",1691786.00000000000
"7",1691790.00000000000
"7",1691796.00000000000
"7",1691800.00000000000
"7",1691802.00000000000
"7",1691808.00000000000
"7",1691810.00000000000
"7",1691814.00000000000
"7",1691816.00000000000
"7",1691826.00000000000
"7",1691830.00000000000
"7",1691836.00000000000
"7",1691844.00000000000
"7",1691848.00000000000
"7",1691850.00000000000
"7",1691852.00000000000
"7",1691854.00000000000
"7",1691856.00000000000
"7",1691858.00000000000
"7",1691860.00000000000
"7",1691876.00000000000
"7",1691882.00000000000
"7",1691888.00000000000
"7",1691894.00000000000
"7",1691900.00000000000
"7",1691906.00000000000
"7",1691910.00000000000
"7",1691912.00000000000
"7",1691924.00000000000
"7",1691934.00000000000
"7",1691936.00000000000
"7",1691940.00000000000
"7",1691942.00000000000
"7",1691946.00000000000
"7",1691952.00000000000
"7",1691954.00000000000
"7",1691960.00000000000
"7",1691970.00000000000
"7",1691972.00000000000
"7",1691978.00000000000
"7",1691988.00000000000
"7",1691998.00000000000
"7",1692004.00000000000
"7",1692012.00000000000
"7",1692014.00000000000
